sleep_hours,activity_minutes,energy_level,stress_level,task_completion,screen_time,previous_day_mood,mood_today
7.5,45,4,2,80,3,3,4
6,30,3,3,60,4,4,3
8,60,5,2,90,2,3,5
5.5,20,2,4,50,5,5,2
7,40,4,2,70,3,2,4
6.5,50,3,3,65,4,4,3
8,70,5,1,95,2,3,5
8,110,3,1,90,4,2,4
8.0,65,3,1,30,2.0,4,3
8.0,65,3,2,40,2.0,4,3
4.0,42,2,3,20,5.0,4,2
5.0,0,1,5,10,5.0,2,2
3.0,0,2,5,10,3.0,1,1
5.0,20,3,4,50,3.0,3,3
6.0,30,3,3,60,5,3,3
8.0,60,5,1,90,2,4,5
5.5,20,2,4,40,6,2,2
7.0,50,4,2,75,3,3,4
6.5,35,3,3,65,4,3,3
8.5,70,5,1,95,2,4,5
4.5,15,1,5,30,7,2,1
7.8,55,4,2,85,3,4,4
6.2,40,3,3,70,4,3,3
9.0,80,5,1,98,2,5,5
5.8,25,2,4,50,6,2,2
7.3,60,4,2,88,3,4,4
6.7,45,3,3,72,4,3,3
8.2,65,5,1,92,2,4,5
5.0,20,2,5,35,7,2,1
7.6,50,4,2,82,3,3,4
6.3,30,3,3,68,5,3,3
8.8,75,5,1,96,2,5,5
5.2,18,2,4,45,6,2,2
7.9,55,4,2,87,3,4,4
